idx,CRIE Readability 1.0,SVM readability prediction 1.0,SVM readability prediction 2.0,Paragraphs,Average paragraph length,Characters,Words,Adverbs,Verbs,Type-token ratio,Difficult words,Low-stroke characters,Intermediate-stroke characters,High-stroke characters,Average strokes,Two-character words,Three-character words,Sentences,Average sentence length,Simple sentence ratio,modifiers per NP,Np ratio,Average propositional phrase,Sentences with complex structure,Parallelism,Average number of idioms each sentence,Content words,Negatives,Sentences with complex semantic categories,Number of complex semantic categories,Intentional words,Noun word density,Content word frequency in logarithmic,Average frequency of content word in domain in Logarithmic,Number of Idioms,Standard Deviation of number of idioms,Pronouns,Personal pronouns,First personal pronouns,Third personal pronouns,conjunctions,positive conjunctions,negative conjunctions,adversative conjunctions,causal conjunctions,hypothesis conjunction,condition conjunction,purpose conjunctions,figure of speech (simile),Content word category,class
36,4.756745,2,0,1,6,99,66,0.136363636,0.303030303,0.7575758,0.257575758,0.858585859,0.141414141,0,7.565657,0.439393939,0.03030303,6,11,0,0.1666667,414.3773,0.6666667,4.833333333,0,0,0.848484848,0,0.5,0.9207443,0,0.8484849,0.07061841,1.879381,0,0.006448089,0.075757576,0.075757576,0.075757576,0,0.015151515,0,0.015151515,0.015151515,0,0,0,0,0,0.666666667,censored
37,4.801256,2,0,1,6,115,71,0.169014085,0.309859155,0.7605634,0.281690141,0.860869565,0.139130435,0,7.06087,0.436619718,0.070422535,6,11.83333,0,0.4,183.1818,0.1666667,1,0,0,0.830985915,0.028169014,0.666666667,0.8435322,0,0.8309859,0.0688839,1.830827,0,0.006448089,0.070422535,0.070422535,0.070422535,0,0.014084507,0.014084507,0,0,0,0,0.014084507,0,0,0.661971831,censored
38,3.864712,1,0,1,5,60,35,0.057142857,0.257142857,0.9142857,0.428571429,0.733333333,0.25,0,7.711864,0.485714286,0.028571429,5,7,1,0.2666667,253.4188,0.2,1.4,0,0,0.828571429,0,0.2,0.560883,0,0.8285714,0.02229852,1.371754,0,0.006448089,0.028571429,0.028571429,0.028571429,0,0.085714286,0.085714286,0,0,0,0,0,0,0,0.771428571,censored
39,4.714196,2,0,1,6,93,61,0.196721311,0.262295082,0.8032787,0.229508197,0.860215054,0.129032258,0,7.01087,0.491803279,0.016393443,6,10.16667,0,0.5904762,319.943,0.3333333,3,0,0,0.901639344,0,0.333333333,0.5384327,0,0.9016393,0.05856631,2.2232,0,0.006448089,0.06557377,0.06557377,0.06557377,0,0,0,0,0,0,0,0,0,0,0.737704918,censored
40,4.780726,2,0,1,2,68,50,0.2,0.3,0.94,0.36,0.720588235,0.264705882,0,8.164179,0.32,0.02,2,25,0,0,0,1,0,0,0,0.9,0.02,0,0,0,0.9,0.0140014,1.700074,0,0.006448089,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0.5,0.86,censored
41,4.140112,2,0,1,7,135,83,0.168674699,0.240963855,0.7710843,0.289156627,0.82962963,0.17037037,0,7.414815,0.421686747,0.084337349,7,11.85714,0.8333333,0,304.6429,0.5714286,0.857142857,0,0,0.891566265,0.012048193,0.571428571,1.743532,0,0.8915663,0.06806263,1.902257,0,0.006448089,0.060240964,0.060240964,0.036144578,0,0.012048193,0,0.012048193,0.012048193,0,0,0,0,0,0.710843373,censored
42,3.787359,2,0,1,1,31,20,0.05,0.3,0.95,0.45,0.935483871,0.064516129,0,7.16129,0.45,0.05,1,20,1,0.1111111,450,1,7,0,0,0.9,0,0,0,0.05,0.9,0.01770765,2.33533,0,0.006448089,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0.85,censored
43,4.346412,2,0,1,9,123,78,0.205128205,0.230769231,0.7692308,0.333333333,0.81300813,0.18699187,0,7.186992,0.448717949,0.064102564,9,8.666667,0.6666667,0.1055556,343.6288,0.3333333,2.333333333,0,0,0.794871795,0,0.777777778,1.526181,0,0.7948718,0.05657571,1.935303,0,0.006448089,0.076923077,0.076923077,0.051282051,0,0.025641026,0,0.025641026,0.025641026,0,0,0,0,0,0.653846154,censored
44,5.249596,2,0,1,14,214,137,0.160583942,0.262773723,0.7591241,0.364963504,0.822429907,0.172897196,0,7.375587,0.445255474,0.03649635,14,9.785714,0,0.5714286,272.0179,0.2857143,3.357142857,0,0,0.854014599,0.00729927,0.357142857,1.854415,0,0.8540146,0.04931266,1.907405,0,0.006448089,0.03649635,0.03649635,0.03649635,0,0.04379562,0.01459854,0.02189781,0.00729927,0,0.01459854,0,0,0,0.693430657,censored
45,4.196756,1,0,1,10,117,72,0.166666667,0.25,0.7361111,0.319444444,0.752136752,0.230769231,0.017094017,8.145299,0.402777778,0.069444444,10,7.2,0.75,0.1583333,301.7025,0.3,1.2,0,0.1,0.819444444,0.013888889,0.7,2.076181,0,0.8194444,0.0688839,2.168043,0.013888889,0.025928106,0.069444444,0.069444444,0.069444444,0,0.027777778,0,0.027777778,0.027777778,0,0,0,0,0,0.652777778,censored
