idx,WC,WPS,Sixltr,Dic,othergram,persconc,ppron,i,we,you,shehe,they,youpl,ipron,prep,auxverb,adverb,conj,negate,quanunit,prepend,specart,tensem,focuspast,focuspresent,focusfuture,progm,particle,modal_pa,general_pa,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,pos_sent,neg_sent,sentiment,charFreq,wordFreq,semantic_classes,wc_over_semantic_classes,readability,followers,topic,class
1707,75,18.75,0,72,44,6.67,2.67,2.67,0,0,0,0,0,4,5.33,4,17.33,8,2.67,4,1.33,1.33,1.33,0,0,0,1.33,9.33,1.33,9.33,4,1.33,0,1.33,8,2.67,4,0,1.33,0,6.67,0,0,0,0,14.67,8,1.33,1.33,2.67,2.67,2.67,2.67,0,1.33,0,5.33,0,4,1.33,0,6.67,1.33,1.33,2.67,0,1.33,9.33,1.33,8,0,4,0,0,0,0,0,6.67,0,1.33,4,0,2.67,13.33,4,9.33,0,0,0,0,0,0,0,0,0,0.069898,0.930102,0,0.00208993,0.00202379,11,6.818181818,2.274098513,30772,everythingElse,censored
1708,44,44,0,65.91,52.27,11.36,6.82,2.27,0,4.55,0,0,2.27,4.55,11.36,2.27,11.36,2.27,13.64,2.27,0,0,0,0,0,0,0,2.27,0,2.27,4.55,0,0,2.27,9.09,0,6.82,0,0,0,18.18,2.27,0,0,0,6.82,0,0,2.27,2.27,2.27,4.55,0,0,0,0,0,0,0,0,0,6.82,2.27,0,4.55,0,0,18.18,4.55,11.36,2.27,4.55,0,0,0,0,0,0,0,0,0,0,0,22.73,2.27,20.45,0,0,0,0,0,0,0,0,0,0.0318011,0.968199,0,0.00194682,0.00145951,11,4,1.334468777,147041,everythingElse,censored
1709,73,73,0,67.12,47.95,4.11,0,0,0,0,0,0,0,4.11,5.48,6.85,10.96,10.96,1.37,2.74,6.85,0,2.74,0,1.37,0,1.37,2.74,1.37,2.74,2.74,0,6.85,2.74,6.85,4.11,2.74,0,0,1.37,5.48,0,0,0,0,26.03,2.74,5.48,12.33,9.59,0,2.74,0,0,0,0,0,0,0,0,0,12.33,0,0,9.59,1.37,1.37,12.33,0,9.59,4.11,2.74,0,0,0,0,1.37,4.11,0,0,2.74,0,1.37,17.81,1.37,16.44,0,0,0,0,0,0,0,0,0,0.410353,0.589647,0,0.00169162,0.00128793,10,7.3,2.434326517,15058,everythingElse,censored
1710,40,13.33,0,57.5,37.5,5,5,2.5,0,0,0,2.5,0,0,5,2.5,5,7.5,0,0,2.5,0,0,0,0,0,0,10,0,10,2.5,0,0,2.5,7.5,5,2.5,0,0,0,5,0,0,0,0,15,2.5,0,7.5,7.5,7.5,0,0,0,0,0,0,0,0,0,0,10,0,5,7.5,2.5,0,7.5,0,7.5,0,5,0,0,0,0,0,2.5,0,0,2.5,0,0,25,12.5,12.5,0,0,0,0,0,0,0,0,0,0.255051,0.744949,0,0.00226063,0.00271445,11,3.636363636,1.213779572,68122,everythingElse,censored
1711,26,13,0,57.69,34.62,0,0,0,0,0,0,0,0,0,3.85,0,23.08,11.54,3.85,0,3.85,0,3.85,0,3.85,0,0,3.85,0,3.85,3.85,15.38,0,0,7.69,3.85,3.85,0,0,0,3.85,0,0,0,0,23.08,3.85,11.54,0,15.38,0,3.85,0,0,0,0,0,0,0,0,0,3.85,0,0,0,3.85,0,15.38,3.85,11.54,0,0,0,0,0,0,0,11.54,0,3.85,7.69,0,0,34.62,7.69,26.92,0,0,0,0,0,0,0,0,0,0.209983,0.790017,0,0.0020957,0.00204315,10,2.6,0.868046283,143213,everythingElse,censored
1712,72,18,0,73.61,47.22,13.89,11.11,2.78,0,2.78,5.56,0,2.78,2.78,9.72,0,11.11,1.39,1.39,2.78,2.78,2.78,2.78,2.78,0,0,0,11.11,1.39,9.72,2.78,0,2.78,1.39,12.5,1.39,9.72,0,5.56,2.78,22.22,0,0,5.56,0,9.72,1.39,0,4.17,4.17,4.17,1.39,2.78,0,1.39,1.39,2.78,0,2.78,0,0,9.72,0,6.94,6.94,2.78,0,16.67,5.56,8.33,5.56,6.94,0,0,0,0,1.39,4.17,1.39,0,2.78,0,1.39,19.44,4.17,13.89,0,0,1.39,0,0,0,0,0,0,0.0298598,0.97014,0,0.00230254,0.00254748,11,6.545454545,2.183434855,100452,everythingElse,censored
1713,71,14.2,0,56.34,42.25,1.41,0,0,0,0,0,0,0,1.41,7.04,5.63,14.08,9.86,1.41,0,1.41,0,8.45,0,1.41,4.23,2.82,8.45,2.82,8.45,0,0,0,0,2.82,0,2.82,0,1.41,1.41,1.41,0,0,0,0,19.72,4.23,2.82,7.04,5.63,1.41,2.82,0,0,0,0,0,0,0,0,0,8.45,0,1.41,7.04,0,0,8.45,1.41,4.23,2.82,1.41,0,0,0,0,0,8.45,0,0,5.63,1.41,1.41,14.08,5.63,8.45,0,0,0,0,0,0,0,0,0,0.0277229,0.972277,0,0.00235875,0.00271393,11,6.454545455,2.153206045,10455,democracy,censored
1714,7,7,0,28.57,28.57,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,28.57,0,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,14.29,0,0,0,0,0,0,0.400029,0.599971,0,0.00297305,0.00455705,7,1,0.335843367,1595,everythingElse,censored
1715,14,14,0,85.71,42.86,7.14,7.14,0,7.14,0,0,0,0,0,7.14,0,7.14,14.29,7.14,0,0,0,7.14,7.14,0,0,7.14,7.14,0,7.14,0,0,0,0,7.14,0,7.14,0,0,0,14.29,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,14.29,0,7.14,0,7.14,28.57,0,21.43,7.14,14.29,0,0,0,0,0,7.14,0,0,7.14,0,0,21.43,0,14.29,0,0,0,7.14,0,0,0,0,0,0.488459,0.511541,1,0.00286857,0.00277459,8,1.75,0.585214387,3207,everythingElse,censored
1716,15,15,0,80,46.67,13.33,13.33,13.33,0,0,0,0,0,0,6.67,0,6.67,0,13.33,0,6.67,0,0,0,0,0,0,6.67,0,6.67,6.67,6.67,0,6.67,0,0,0,0,0,0,6.67,0,0,0,0,13.33,0,0,0,0,13.33,6.67,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,6.67,20,6.67,13.33,0,6.67,0,0,0,0,0,0,0,0,0,0,0,13.33,0,13.33,0,0,0,0,0,0,0,0,0,0.360047,0.639953,0,0.00264844,0.00280393,9,1.666666667,0.557373012,1518,terrDispute,censored
