Path,File_Name,CRIE Readability 1.0,SVM readability prediction 1.0,SVM readability prediction 2.0,Paragraphs,Average paragraph length,Characters,Words,Adverbs,Verbs,Type-token ratio,Difficult words,Low-stroke characters,Intermediate-stroke characters,High-stroke characters,Average strokes,Two-character words,Three-character words,Sentences,Average sentence length,Simple sentence ratio,modifiers per NP,Np ratio,Average propositional phrase,Sentences with complex structure,Parallelism,Average number of idioms each sentence,Content words,Negatives,Sentences with complex semantic categories,Number of complex semantic categories,Intentional words,Noun word density,Content word frequency in logarithmic,Average frequency of content word in domain in Logarithmic,Number of Idioms,Standard Deviation of number of idioms,Pronouns,Personal pronouns,First personal pronouns,Third personal pronouns,conjunctions,positive conjunctions,negative conjunctions,adversative conjunctions,causal conjunctions,hypothesis conjunction,condition conjunction,purpose conjunctions,figure of speech (simile),Content word category,class,class_num
0.0,1325,4.818139,2.0,0.0,1.0,7.0,109.0,72.0,0.1388888888888889,0.3472222222222222,0.8055555999999999,0.3888888888888889,0.7522935779816514,0.24770642201834864,0.0,8.33945,0.4861111111111111,0.013888888888888888,7.0,10.28571,0.0,0.25,233.9411,0.2857143,0.8571428571428571,0.0,0.0,0.7638888888888888,0.0,0.42857142857142855,0.4326491,0.027777777777777776,0.7638889,0.07241798,1.729853,0.0,0.00345302594646853,0.0,0.0,0.0,0.0,0.08333333333333333,0.05555555555555555,0.013888888888888888,0.0,0.013888888888888888,0.013888888888888888,0.0,0.0,0.0,0.6111111111111112,censored,1
0.0,1326,3.827,2.0,0.0,1.0,1.0,30.0,21.0,0.19047619047619047,0.23809523809523808,1.0,0.47619047619047616,0.8,0.2,0.0,7.8,0.3333333333333333,0.047619047619047616,1.0,21.0,1.0,0.1111111,428.5714,2.0,9.0,0.0,0.0,0.7619047619047619,0.0,0.0,0.0,0.0,0.7619048,0.0,1.573234,0.0,0.00345302594646853,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7619047619047619,censored,1
0.0,1327,4.281514,1.0,0.0,1.0,6.0,66.0,44.0,0.1590909090909091,0.29545454545454547,0.8409091000000001,0.29545454545454547,0.8636363636363636,0.13636363636363635,0.0,7.530303,0.4090909090909091,0.045454545454545456,6.0,7.333333,0.5,0.0,349.8169,0.1666667,1.0,0.0,0.0,0.8181818181818182,0.045454545454545456,0.3333333333333333,0.2217661,0.0,0.8181818000000001,0.03762875,1.7889240000000002,0.0,0.00345302594646853,0.06818181818181818,0.06818181818181818,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,censored,1
0.0,1328,4.173026,2.0,0.0,1.0,8.0,124.0,68.0,0.10294117647058823,0.25,0.8676471,0.36764705882352944,0.8467741935483871,0.14516129032258066,0.0,7.626016,0.47058823529411764,0.08823529411764706,8.0,8.5,0.8333333,0.4479167000000001,384.1023,0.5,2.75,0.0,0.0,0.7941176470588235,0.0,0.625,1.854415,0.0,0.7941176,0.01770765,1.390523,0.0,0.00345302594646853,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.0,0.058823529411764705,0.04411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,censored,1
0.0,1329,4.352757,2.0,0.0,1.0,3.0,67.0,43.0,0.2558139534883721,0.3488372093023256,0.9069768,0.46511627906976744,0.7910447761194029,0.208955223880597,0.0,7.447761,0.46511627906976744,0.046511627906976744,3.0,14.333329999999998,0.5,0.5833333,198.0507,0.6666667,7.333333333333333,0.0,0.0,0.7906976744186046,0.023255813953488372,0.6666666666666666,0.28843270000000004,0.0,0.7906977,0.01881438,1.804662,0.0,0.00345302594646853,0.0,0.0,0.0,0.0,0.023255813953488372,0.023255813953488372,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.7441860465116279,censored,1
0.0,1330,4.688784,2.0,0.0,1.0,2.0,36.0,24.0,0.125,0.3333333333333333,0.9583333,0.5416666666666666,0.7222222222222222,0.2222222222222222,0.0,7.176471,0.4166666666666667,0.041666666666666664,2.0,12.0,0.0,0.1666667,333.3333,1.5,8.0,0.0,0.0,0.7916666666666666,0.0,0.5,0.310883,0.0,0.7916667,0.01672389,1.805653,0.0,0.00345302594646853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,censored,1
0.0,1331,3.873,1.0,0.0,1.0,5.0,39.0,23.0,0.13043478260869565,0.34782608695652173,1.0,0.5217391304347826,0.8205128205128205,0.1794871794871795,0.0,7.615385000000002,0.4782608695652174,0.043478260869565216,5.0,4.6,1.0,0.1,377.1429,0.2,0.0,0.0,0.0,0.9130434782608695,0.0,0.6,0.9326491,0.0,0.9130435,0.0,2.412659,0.0,0.00345302594646853,0.08695652173913043,0.08695652173913043,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9130434782608695,censored,1
0.0,1332,4.569865,2.0,0.0,1.0,2.0,29.0,18.0,0.2222222222222222,0.3888888888888889,0.8888889000000001,0.2777777777777778,0.8620689655172413,0.13793103448275862,0.0,7.0,0.5,0.05555555555555555,2.0,9.0,0.0,0.5,315.3846,0.0,6.5,0.0,0.0,0.8333333333333334,0.0,0.5,0.560883,0.0,0.8333333,0.02150214,1.641389,0.0,0.00345302594646853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,censored,1
0.0,1333,4.645603,2.0,0.0,1.0,5.0,99.0,57.0,0.19298245614035087,0.22807017543859648,0.7368420999999999,0.2631578947368421,0.8282828282828283,0.15151515151515152,0.0,7.237113000000001,0.5263157894736842,0.10526315789473684,5.0,11.4,0.0,0.5,256.25,0.6,4.0,0.0,0.0,0.7368421052631579,0.017543859649122806,0.6,0.3826492,0.0,0.7368420999999999,0.07831307,1.576823,0.0,0.00345302594646853,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.0,0.05263157894736842,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.5789473684210527,censored,1
0.0,1334,4.789374,2.0,0.0,1.0,3.0,62.0,43.0,0.16279069767441862,0.32558139534883723,0.9069768,0.46511627906976744,0.8387096774193549,0.16129032258064516,0.0,7.580645,0.3953488372093023,0.023255813953488372,3.0,14.333329999999998,0.0,0.5,309.5238,1.0,2.3333333333333335,0.0,0.0,0.8372093023255814,0.0,0.3333333333333333,0.06088305,0.0,0.8372093,0.02736636,1.432905,0.0,0.00345302594646853,0.0,0.023255813953488372,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7674418604651163,censored,1
0.0,1335,4.689,2.0,0.0,1.0,3.0,41.0,26.0,0.19230769230769232,0.2692307692307692,0.9615384,0.38461538461538464,0.9024390243902439,0.0975609756097561,0.0,6.902439,0.5,0.038461538461538464,3.0,8.666667,0.0,0.3333333,277.7778,0.3333333,2.0,0.0,0.0,0.8461538461538461,0.038461538461538464,0.3333333333333333,0.560883,0.0,0.8461539,0.0,1.551022,0.0,0.00345302594646853,0.038461538461538464,0.038461538461538464,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,censored,1
0.0,1336,4.137274,2.0,0.0,1.0,5.0,63.0,36.0,0.08333333333333333,0.5,0.8888889000000001,0.4166666666666667,0.7619047619047619,0.2222222222222222,0.0,8.209678,0.6666666666666666,0.0,5.0,7.2,0.6666667,0.0,243.8095,0.0,1.4,0.0,0.0,0.9166666666666666,0.0,0.8,1.743532,0.0,0.9166667,0.02006867,1.426923,0.0,0.00345302594646853,0.0,0.0,0.0,0.0,0.027777777777777776,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,censored,1
0.0,1337,4.257939,2.0,0.0,1.0,3.0,54.0,35.0,0.11428571428571428,0.3142857142857143,0.9428571,0.3142857142857143,0.7962962962962963,0.18518518518518517,0.0,7.830189,0.5428571428571428,0.0,3.0,11.66667,0.5,0.1666667,330.3571,0.3333333,2.0,0.0,0.0,0.9142857142857143,0.0,0.6666666666666666,0.9550995,0.05714285714285714,0.9142857,0.009710645,1.5630540000000002,0.0,0.00345302594646853,0.02857142857142857,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8857142857142857,censored,1
0.0,1338,4.489659,2.0,0.0,1.0,5.0,80.0,56.0,0.30357142857142855,0.3392857142857143,0.8392857,0.35714285714285715,0.7625,0.2375,0.0,8.1625,0.39285714285714285,0.017857142857142856,5.0,11.2,0.3333333,0.0,210.0,0.0,2.8,0.0,0.0,0.8571428571428571,0.05357142857142857,0.6,0.8493158000000002,0.017857142857142856,0.8571429,0.04834808,1.520926,0.0,0.00345302594646853,0.03571428571428571,0.03571428571428571,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7321428571428571,censored,1
0.0,1339,4.554588,2.0,0.0,1.0,3.0,38.0,30.0,0.43333333333333335,0.23333333333333334,0.8666666999999999,0.23333333333333334,0.868421052631579,0.13157894736842105,0.0,7.236842,0.2,0.03333333333333333,3.0,10.0,0.0,0.0,166.6667,0.6666667,2.6666666666666665,0.0,0.3333333,0.8333333333333334,0.13333333333333333,0.6666666666666666,0.7884327,0.0,0.8333333,0.05138959,2.119235,0.03333333333333333,0.0224359927074564,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.7,censored,1
0.0,1340,4.568626,2.0,0.0,1.0,8.0,102.0,62.0,0.16129032258064516,0.3387096774193548,0.8709677,0.5806451612903226,0.7843137254901961,0.21568627450980393,0.0,7.852941,0.43548387096774194,0.08064516129032258,8.0,7.75,0.5,0.125,295.8333,0.375,0.75,0.0,0.0,0.9032258064516129,0.03225806451612903,0.625,1.854415,0.0,0.9032258,0.03686082,1.527164,0.0,0.00345302594646853,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7903225806451613,censored,1
0.0,1341,3.711,1.0,0.0,1.0,2.0,13.0,8.0,0.375,0.375,1.0,0.375,0.8461538461538461,0.15384615384615385,0.0,8.769231,0.625,0.0,2.0,4.0,1.0,0.0,83.33335,0.0,0.0,0.0,0.0,1.0,0.25,1.0,1.121766,0.0,1.0,0.0,1.466904,0.0,0.00345302594646853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,censored,1
0.0,1342,4.756996,2.0,0.0,1.0,11.0,122.0,79.0,0.17721518987341772,0.26582278481012656,0.835443,0.3037974683544304,0.8524590163934426,0.14754098360655737,0.0,7.270492,0.4177215189873418,0.06329113924050633,11.0,7.181817999999999,0.25,0.15,310.5952,0.4545455,1.6363636363636365,0.0,0.0,0.7848101265822784,0.0379746835443038,0.9090909090909091,3.3826400000000003,0.0,0.7848101,0.03902241,1.79988,0.0,0.00345302594646853,0.10126582278481013,0.11392405063291139,0.06329113924050633,0.0,0.0379746835443038,0.02531645569620253,0.0,0.0,0.0,0.012658227848101266,0.0,0.0,0.0,0.6835443037974683,censored,1
